[2025-12-26 21:27:39] [INFO    ] discord.client: logging in using static token
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1444846931791581254', 'username': 'otnez', 'avatar': 'e429e2092af48e0415eb439be6fe1b20', 'discriminator': '7565', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-12-26 21:27:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1444846931791581254', 'name': 'zento stuff', 'icon': 'e429e2092af48e0415eb439be6fe1b20', 'description': 'blablablablablablablablablablablablablablablablablablablablablablablabla', 'type': None, 'bot': {'id': '1444846931791581254', 'username': 'otnez', 'avatar': 'e429e2092af48e0415eb439be6fe1b20', 'discriminator': '7565', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '890fa82e13a73567c9d12c9697a2de6a97cbe19c956c123297cc783b3a6a8057', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '896337001782054914', 'username': 'thatzento', 'avatar': '48e26c516dc4ce10a4797905968fa8c0', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'zento la 42', 'avatar_decoration_data': {'asset': 'a_be6c77adcaa4aa3ed641f6c78de0dbb8', 'sku_id': '1432427447093039205', 'expires_at': 1768003200}, 'collectibles': {'nameplate': {'sku_id': '1427463138646954036', 'asset': 'nameplates/orb/magical_mist/', 'label': 'COLLECTIBLES_ORB_MAGIC_MISTS_NP_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-12-26 21:27:40] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-12-26 21:27:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-dqwk",{"micros":0.0}]']}}
[2025-12-26 21:27:40] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-12-26 21:27:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-12-26 21:27:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'otnez', 'primary_guild': None, 'mfa_enabled': True, 'id': '1444846931791581254', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7565', 'clan': None, 'bot': True, 'avatar': 'e429e2092af48e0415eb439be6fe1b20'}, 'session_type': 'normal', 'session_id': 'c9af4175f4ecf5757fa48e50d5202007', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1403107754046128148'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['milan', 'paris', 'frankfurt', 'rotterdam', 'london'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1444846931791581254', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-dqwk",{"micros":123642,"calls":["id_created",{"micros":1015,"calls":[]},"session_lookup_time",{"micros":335,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-37",{"micros":121211,"calls":["start_session",{"micros":104730,"calls":["discord-api-rpc-685f5fd59d-6h5rm",{"micros":39233,"calls":["get_user",{"micros":5304},"get_guilds",{"micros":5623},"send_scheduled_deletion_message",{"micros":22},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1869},"apex_experiments",{"micros":55686},"user_activities",{"micros":9},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":460,"calls":[]},"guilds_started",{"micros":58,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15912,"calls":[]},"connect_finished",{"micros":15919,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-12-26 21:27:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-26 21:27:41] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c9af4175f4ecf5757fa48e50d5202007).
[2025-12-26 21:27:41] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-26 21:27:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'nsfw': False, 'members': [{'user': {'username': 'thatzento', 'public_flags': 0, 'primary_guild': None, 'id': '896337001782054914', 'global_name': 'zento la 42', 'display_name_styles': None, 'display_name': 'zento la 42', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1427463138646954036', 'palette': 'cobalt', 'label': 'COLLECTIBLES_ORB_MAGIC_MISTS_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/orb/magical_mist/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1432427447093039205', 'expires_at': 1768003200, 'asset': 'a_be6c77adcaa4aa3ed641f6c78de0dbb8'}, 'avatar': '48e26c516dc4ce10a4797905968fa8c0'}, 'roles': ['1454158853523509362'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-07T20:09:17.065000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ey_mo', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1051943588801552484', 'global_name': 'Locked_Muz🍌', 'display_name_styles': None, 'display_name': 'Locked_Muz🍌', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8eff1184096588ecd13a4a268ecb7a4f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-26T15:21:45.339482+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'rik4rinn', 'public_flags': 0, 'primary_guild': {'tag': 'JINX', 'identity_guild_id': '1295868101371498547', 'identity_enabled': True, 'badge': '6c15b5d290a1310bf21db40e274c4051'}, 'id': '1132421793701961838', 'global_name': 'maevie 一厄運', 'display_name_styles': None, 'display_name': 'maevie 一厄運', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1417311919664005231', 'palette': 'violet', 'label': 'COLLECTIBLES_NAMEPLATE_BONANZA_COSMIC_STORM_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplate_bonanza/cosmic_storm/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': '129e725131213de94881d2c33e81d87e'}, 'roles': ['1454158853523509362'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-26T15:51:55.626000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'otnez', 'public_flags': 0, 'primary_guild': None, 'id': '1444846931791581254', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7565', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e429e2092af48e0415eb439be6fe1b20'}, 'roles': ['1453900807954108498'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-26T00:02:44.816000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'activity_instances': [], 'default_message_notifications': 0, 'stage_instances': [], 'emojis': [{'version': 1754597379970, 'roles': [], 'require_colons': True, 'name': 'emoji_1', 'managed': False, 'id': '1403107850028318901', 'available': True, 'animated': False}], 'inventory_settings': None, 'incidents_data': None, 'presences': [{'user': {'id': '896337001782054914'}, 'status': 'idle', 'processed_at_timestamp': 1766779758721, 'client_status': {'desktop': 'idle'}, 'activities': [{'type': 0, 'timestamps': {'start': 1766752336420}, 'state': 'GOON', 'session_id': 'b5ca7e56dacfd6121425cdec98b5aa74', 'platform': 'desktop', 'party': {'size': [1, 67], 'id': 'CustomRP'}, 'name': 'zento stuff', 'id': 'd82271afa60bd26c', 'details': '*feels the aura*', 'created_at': 1766753116658, 'assets': {'small_text': 'apple fritters...', 'small_image': '1453772899759685824', 'large_text': 'i hate python', 'large_image': '1444847241880932522'}, 'application_id': '1444846931791581254'}]}, {'user': {'id': '1051943588801552484'}, 'status': 'idle', 'processed_at_timestamp': 0, 'client_status': {'mobile': 'idle'}, 'activities': [{'type': 4, 'state': '🍌', 'name': 'Custom Status', 'id': 'custom', 'created_at': 1766780650600}]}, {'user': {'id': '1444846931791581254'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}], 'joined_at': '2025-12-26T00:02:44.816000+00:00', 'profile': None, 'region': 'deprecated', 'owner_configured_content_level': 0, 'discovery_splash': None, 'channels': [{'version': 1754597357239, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons textuels', 'id': '1403107754847109280', 'flags': 0}, {'version': 1754597357244, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Salons vocaux', 'id': '1403107754847109281', 'flags': 0}, {'version': 1754597357253, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1403107754847109280', 'name': 'général', 'last_message_id': '1454199408391622913', 'id': '1403107754847109282', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1754597357257, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1403107754847109281', 'name': 'Général', 'last_message_id': None, 'id': '1403107754847109283', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1766772278464, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1403107754847109280', 'nsfw': False, 'name': 'gifs', 'last_message_id': '1454193580586569880', 'id': '1454173075582226512', 'flags': 0}], 'features': [], 'embedded_activities': [], 'nsfw_level': 0, 'latest_onboarding_question_id': None, 'explicit_content_filter': 0, 'id': '1403107754046128148', 'application_id': None, 'moderator_reporting': None, 'name': 'bot testing', 'roles': [{'version': 1754597357232, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1403107754046128148', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1766768907909, 'unicode_emoji': None, 'tags': {'bot_id': '1444846931791581254'}, 'position': 2, 'permissions': '8', 'name': 'zento stuff', 'mentionable': False, 'managed': True, 'id': '1453900807954108498', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1766768908150, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'agartha', 'mentionable': False, 'managed': False, 'id': '1454158853523509362', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}], 'unavailable': False, 'max_stage_video_channel_users': 50, 'member_count': 4, 'vanity_url_code': None, 'hub_type': None, 'threads': [], 'rules_channel_id': None, 'premium_features': None, 'voice_states': [], 'premium_tier': 0, 'safety_alerts_channel_id': None, 'verification_level': 0, 'description': None, 'guild_scheduled_events': [], 'stickers': [{'version': 1754597411312, 'type': 2, 'tags': '1403107850028318901', 'name': 'nan', 'id': '1403107981633126542', 'guild_id': '1403107754046128148', 'format_type': 1, 'description': '', 'available': True, 'asset': ''}, {'version': 1754597428638, 'type': 2, 'tags': 'broken_heart', 'name': 'wtf', 'id': '1403108054312030258', 'guild_id': '1403107754046128148', 'format_type': 1, 'description': '', 'available': True, 'asset': ''}, {'version': 1754597452652, 'type': 2, 'tags': 'sponge', 'name': 'bub', 'id': '1403108155021328434', 'guild_id': '1403107754046128148', 'format_type': 1, 'description': '', 'available': True, 'asset': ''}, {'version': 1754597485002, 'type': 2, 'tags': 'thinking', 'name': 'is this ragebait?', 'id': '1403108290694480082', 'guild_id': '1403107754046128148', 'format_type': 1, 'description': '', 'available': True, 'asset': ''}, {'version': 1754597657909, 'type': 2, 'tags': 'rage', 'name': 'u should sata andagi NOW', 'id': '1403109015923327107', 'guild_id': '1403107754046128148', 'format_type': 1, 'description': '', 'available': True, 'asset': ''}], 'max_members': 25000000, 'splash': None, 'max_video_channel_users': 25, 'application_command_counts': {}, 'lazy': True, 'icon': None, 'preferred_locale': 'en-US', 'owner_id': '896337001782054914', 'system_channel_flags': 0, 'afk_timeout': 300, 'large': False, 'public_updates_channel_id': None, 'mfa_level': 0, 'afk_channel_id': None, 'home_header': None, 'system_channel_id': '1403107754847109282', 'version': 1766763713310, 'premium_progress_bar_enabled': False, 'soundboard_sounds': [], 'banner': None, 'premium_subscription_count': 0}}
[2025-12-26 21:27:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-26 21:27:41] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-26 21:27:43] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-26 21:27:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-26T20:27:48.707000+00:00', 'pinned': False, 'nonce': '1454209104787537920', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1454209105739644989', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hello', 'components': [], 'channel_type': 1, 'channel_id': '1453900855865774234', 'author': {'username': 'thatzento', 'public_flags': 0, 'primary_guild': None, 'id': '896337001782054914', 'global_name': 'zento la 42', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1427463138646954036', 'palette': 'cobalt', 'label': 'COLLECTIBLES_ORB_MAGIC_MISTS_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/orb/magical_mist/'}}, 'clan': None, 'avatar_decoration_data': {'sku_id': '1432427447093039205', 'expires_at': 1768003200, 'asset': 'a_be6c77adcaa4aa3ed641f6c78de0dbb8'}, 'avatar': '48e26c516dc4ce10a4797905968fa8c0'}, 'attachments': []}}
[2025-12-26 21:27:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-26 21:27:48] [DEBUG   ] discord.client: Dispatching event message
